,epoch,train_loss,val_metrics/ssim,val_metrics/nmse,validation_loss
149,0.0,1.0,,,
299,0.0,1.0,,,
399,0.0,1.0,,,
799,0.0,0.9999992251396179,,,
849,0.0,0.9999980330467224,,,
1099,0.0,0.9999966025352478,,,
1149,0.0,1.0,,,
1199,0.0,1.0,,,
1449,0.0,0.9999995231628418,,,
1549,0.0,0.9999998807907104,,,
1899,0.0,0.9999989867210388,,,
1999,0.0,0.9999995827674866,,,
2149,0.0,1.0,,,
2499,0.0,1.0,,,
2599,0.0,1.0,,,
2649,0.0,1.0,,,
2849,0.0,1.0,,,
3349,0.0,1.0,,,
3399,0.0,0.9999991059303284,,,
3499,0.0,0.9999995827674866,,,
3649,0.0,0.9999995827674866,,,
3949,0.0,0.9999999403953552,,,
4099,0.0,1.0,,,
4149,0.0,0.9999990463256836,,,
4299,0.0,0.9999999403953552,,,
4499,0.0,1.0,,,
4749,0.0,1.0000028610229492,,,
4799,0.0,0.9999985694885254,,,
4999,0.0,1.0,,,
5249,0.0,0.9999988675117493,,,
5349,0.0,0.9999994039535522,,,
5399,0.0,0.9999997615814209,,,
5599,0.0,0.9999998211860657,,,
5849,0.0,0.9999991655349731,,,
6099,0.0,0.9999873638153076,,,
6149,0.0,0.9957692623138428,,,
6399,0.0,1.0002622604370117,,,
6599,0.0,0.9901902675628662,,,
6749,0.0,1.0004538297653198,,,
6849,0.0,0.9974193572998047,,,
6949,0.0,0.9706134796142578,,,
7149,0.0,0.9842305183410645,,,
7299,0.0,0.9973517060279846,,,
7349,0.0,0.9995772838592529,,,
7499,0.0,0.9975898861885071,,,
7599,0.0,1.003401517868042,,,
7849,0.0,0.9936315417289734,,,
8049,0.0,0.7197308540344238,,,
8099,0.0,0.4619397521018982,,,
8299,0.0,0.41943782567977905,,,
8399,0.0,0.507929265499115,,,
8599,0.0,0.7965737581253052,,,
8799,0.0,0.9036665558815002,,,
9449,0.0,0.5467604994773865,,,
9549,0.0,0.9838586449623108,,,
9749,0.0,0.47295087575912476,,,
9949,0.0,0.6057202219963074,,,
10099,0.0,0.30133765935897827,,,
10149,0.0,0.22315196692943573,,,
10199,0.0,0.35103070735931396,,,
10349,0.0,0.3126738667488098,,,
10599,0.0,0.23397429287433624,,,
10649,0.0,0.7044780850410461,,,
10699,0.0,0.4218663275241852,,,
10749,0.0,0.18381312489509583,,,
10849,0.0,0.5211778283119202,,,
10999,0.0,0.508172333240509,,,
11049,0.0,0.35200199484825134,,,
11099,0.0,0.38063469529151917,,,
11199,0.0,0.3011150658130646,,,
11299,0.0,0.4685484766960144,,,
11399,0.0,0.28899669647216797,,,
11499,0.0,0.5403940677642822,,,
11649,0.0,0.5521519184112549,,,
11799,0.0,0.4711103141307831,,,
11999,0.0,0.4144960343837738,,,
12549,0.0,0.20221759378910065,,,
12649,0.0,0.518428385257721,,,
12799,0.0,0.3754652142524719,,,
12899,0.0,0.3140578866004944,,,
13049,0.0,0.6277074217796326,,,
13799,0.0,0.24284687638282776,,,
13899,0.0,0.3570873439311981,,,
14049,0.0,0.423322856426239,,,
14099,0.0,0.1997092068195343,,,
14249,0.0,0.3869625926017761,,,
14349,0.0,0.3905799686908722,,,
14899,0.0,0.34192562103271484,,,
14999,0.0,0.34450721740722656,,,
15099,0.0,0.38851162791252136,,,
15299,0.0,0.3620319664478302,,,
15399,0.0,0.2871100902557373,,,
15699,0.0,0.5092063546180725,,,
16249,0.0,0.46470963954925537,,,
16349,0.0,0.17966675758361816,,,
16399,0.0,0.4012986719608307,,,
16449,0.0,0.33931785821914673,,,
16649,0.0,0.22361263632774353,,,
16699,0.0,0.5810760259628296,,,
16949,0.0,0.3591309189796448,,,
17049,0.0,0.2863115966320038,,,
17099,0.0,0.18234120309352875,,,
17199,0.0,0.1517585664987564,,,
17649,0.0,0.5011386275291443,,,
17699,0.0,0.35685446858406067,,,
18199,0.0,0.22274208068847656,,,
18549,0.0,0.09856648743152618,,,
18649,0.0,0.375642865896225,,,
